Technique,Description,Mitigation,Detection,Mitigation_Description,proc_example
"
                            ,
                        Indicator Blocking
                    ","An adversary may attempt to block indicators or events typically captured by sensors from being gathered and analyzed. This could include maliciously redirecting , or even disabling host-based sensors, such as Event Tracing for Windows (ETW),, by tampering settings that control the collection and flow of event telemetry. , These settings may be stored on the system in configuration files and/or in the Registry as well as being accessible via administrative utilities such as , or ,.,ETW interruption can be achieved multiple ways, however most directly by defining conditions using the , , cmdlet or by interfacing directly with the Registry to make alterations.,In the case of network-based reporting of indicators, an adversary may block traffic associated with reporting to prevent central analysis. This may be accomplished by many means, such as stopping a local process responsible for forwarding telemetry and/or creating a host-based firewall rule to block traffic to specific hosts responsible for aggregating events, such as security information and event management (SIEM) products. "," Restrict File and Directory Permissions ,[4], Software Configuration , User Account Management ,[4]","Detect lack of reported activity from a host sensor. Different methods of blocking may cause different disruptions in reporting. Systems may suddenly stop reporting all data or only certain kinds of data.,Depending on the types of host information collected, an analyst may be able to detect the event that triggered a process to stop or connection to be blocked. For example, Sysmon will log when its configuration state has changed (Event ID 16) and Windows Management Instrumentation (WMI) may be used to subscribe ETW providers that log any provider removal from a specific trace session. , To detect changes in ETW you can also monitor the registry key which contains configurations for all ETW event providers: ","Ensure event tracers/forwarders ,, firewall policies, and other associated mechanisms are secured with appropriate permissions and access controls.,Consider automatically relaunching forwarding mechanisms at recurring intervals (ex: temporal, on-logon, etc.) as well as applying appropriate change management to firewall rules and other related system configurations.,Ensure event tracers/forwarders ,, firewall policies, and other associated mechanisms are secured with appropriate permissions and access controls and cannot be manipulated by user accounts.","Ensure event tracers/forwarders ,, firewall policies, and other associated mechanisms are secured with appropriate permissions and access controls.,Consider automatically relaunching forwarding mechanisms at recurring intervals (ex: temporal, on-logon, etc.) as well as applying appropriate change management to firewall rules and other related system configurations.,Ensure event tracers/forwarders ,, firewall policies, and other associated mechanisms are secured with appropriate permissions and access controls and cannot be manipulated by user accounts."
"
                            ,
                        Impair Command History Logging
                    ","Adversaries may impair command history logging to hide commands they run on a compromised system. Various command interpreters keep track of the commands users type in their terminal so that users can retrace what they've done. ,On Linux and macOS, command history is tracked in a file pointed to by the environment variable ,. When a user logs off a system, this information is flushed to a file in the user's home directory called ,. The , environment variable keeps track of what should be saved by the , command and eventually into the , file when a user logs out. , does not exist by default on macOS, but can be set by the user and will be respected.,Adversaries may clear the history environment variable (,) or set the command history size to zero (,) to prevent logging of commands. Additionally, , can be configured to ignore commands that start with a space by simply setting it to ""ignorespace"". , can also be set to ignore duplicate commands by setting it to ""ignoredups"". In some Linux systems, this is set by default to ""ignoreboth"" which covers both of the previous examples. This means that "" ls"" will not be saved, but ""ls"" would be saved by history. Adversaries can abuse this to operate without leaving traces by simply prepending a space to all of their terminal commands.,On Windows systems, the , module tracks commands used in all PowerShell sessions and writes them to a file (, by default). Adversaries may change where these logs are saved using ,. This will cause , to stop receiving logs. Additionally, it is possible to turn off logging to this file using the PowerShell command ,."," Environment Variable Permissions ,[4], Operating System Configuration ","Correlating a user session with a distinct lack of new commands in their , can be a clue to suspicious behavior. Additionally, users checking or changing their ,, ,, or , environment variables may be suspicious.,Monitor for modification of PowerShell command history settings through processes being created with , command-line arguments and use of the PowerShell commands , and ,. ","Prevent users from changing the ,, ,, and , environment variables. ,Make sure that the , environment variable is set to ""ignoredups"" instead of ""ignoreboth"" or ""ignorespace"".","Prevent users from changing the ,, ,, and , environment variables. ,Make sure that the , environment variable is set to ""ignoredups"" instead of ""ignoreboth"" or ""ignorespace""."
"
                            ,
                        Disable Windows Event Logging
                    ","Adversaries may disable Windows event logging to limit data that can be leveraged for detections and audits. Windows event logs record user and system activity such as login attempts, process creation, and much more., This data is used by security tools and analysts to generate detections.,Adversaries may targeting system-wide logging or just that of a particular application. By disabling Windows event logging, adversaries can operate while leaving less evidence of a compromise behind."," Ebury ,Ebury,[2], Threat Group-3390 ,Threat Group-3390,[3], UNC2452 ,UNC2452,[4], Restrict File and Directory Permissions , Restrict Registry Permissions , User Account Management ",Monitor processes and command-line arguments for commands that can be used to disable logging. Lack of event logs may be suspicious.," has disabled logging when the backdoor is used., , has used appcmd.exe to disable logging on a victim server., used , to prevent the collection of audit logs.,Ensure proper process and file permissions are in place to prevent adversaries from disabling or interfering logging.,Ensure proper Registry permissions are in place to prevent adversaries from disabling or interfering logging.,Ensure proper user permissions are in place to prevent adversaries from disabling or interfering with logging."," has disabled logging when the backdoor is used., , has used appcmd.exe to disable logging on a victim server., used , to prevent the collection of audit logs.,Ensure proper process and file permissions are in place to prevent adversaries from disabling or interfering logging.,Ensure proper Registry permissions are in place to prevent adversaries from disabling or interfering logging.,Ensure proper user permissions are in place to prevent adversaries from disabling or interfering with logging."
"
                        Impair Defenses
                    ","Adversaries may maliciously modify components of a victim environment in order to hinder or disable defensive mechanisms. This not only involves impairing preventative defenses, such as firewalls and anti-virus, but also detection capabilities that defenders can use to audit activity and identify malicious behavior. This may also span both native defenses as well as supplemental capabilities installed by users and administrators.,Adversaries could also target event aggregation and analysis mechanisms, or otherwise disrupt these procedures by altering other system components."," Restrict File and Directory Permissions , Restrict Registry Permissions , User Account Management ","Monitor processes and command-line arguments to see if security tools or logging services are killed or stop running. Monitor Registry edits for modifications to services and startup programs that correspond to security tools.  Lack of log events may be suspicious.,Monitor environment variables and APIs that can be leveraged to disable security measures.","Ensure proper process and file permissions are in place to prevent adversaries from disabling or interfering with security/logging services.,Ensure proper Registry permissions are in place to prevent adversaries from disabling or interfering with security/logging services.,Ensure proper user permissions are in place to prevent adversaries from disabling or interfering with security/logging services.","Ensure proper process and file permissions are in place to prevent adversaries from disabling or interfering with security/logging services.,Ensure proper Registry permissions are in place to prevent adversaries from disabling or interfering with security/logging services.,Ensure proper user permissions are in place to prevent adversaries from disabling or interfering with security/logging services."
"
                            ,
                        VBA Stomping
                    ","Adversaries may hide malicious Visual Basic for Applications (VBA) payloads embedded within MS Office documents by replacing the VBA source code with benign data.,MS Office documents with embedded VBA content store source code inside of module streams. Each module stream has a , that stores a separate compiled version of the VBA source code known as p-code. The p-code is executed when the MS Office version specified in the , stream (which contains the version-dependent description of the VBA project) matches the version of the host MS Office application.,An adversary may hide malicious VBA code by overwriting the VBA source code location with zero’s, benign code, or random bytes while leaving the previously compiled malicious p-code. Tools that scan for malicious VBA source code may be bypassed as the unwanted code is hidden in the compiled p-code. If the VBA source code is removed, some tools might even think that there are no macros present. If there is a version match between the , stream and host MS Office application, the p-code will be executed, otherwise the benign VBA source code will be decompressed and recompiled to p-code, thus removing malicious p-code and potentially bypassing dynamic analysis."," Disable or Remove Feature or Program ,[6]","Detection efforts should be placed finding differences between VBA source code and p-code., VBA code can be extracted from p-code before execution with tools such as the pcodedmp disassembler. The oletools toolkit leverages the pcodedmp disassembler to detect VBA stomping by comparing keywords present in the VBA source code and p-code.,If the document is opened with a Graphical User Interface (GUI) the malicious p-code is decompiled and may be viewed. However, if the , stream, which specifies the project properties, is modified in a specific way the decompiled VBA code will not be displayed. For example, adding a module name that is undefined to the , stream will inhibit attempts of reading the VBA source code through the GUI.",Turn off or restrict access to unneeded VB components.,Turn off or restrict access to unneeded VB components.
"
                            ,
                        NTFS File Attributes
                    ","Adversaries may use NTFS file attributes to hide their malicious data in order to evade detection. Every New Technology File System (NTFS) formatted partition contains a Master File Table (MFT) that maintains a record for every file/directory on the partition. , Within MFT entries are file attributes, , such as Extended Attributes (EA) and Data [known as Alternate Data Streams (ADSs) when more than one Data attribute is present], that can be used to store arbitrary data (and even complete files). , , , ,Adversaries may store malicious data or binaries in file attribute metadata instead of directly in files. This may be done to evade some defenses, such as static indicator scanning tools and anti-virus. , "," Anchor ,Anchor,[7], APT32 ,APT32,[8], esentutl ,esentutl,[9], Expand ,Expand,[10], Gazer ,Gazer,[11], LoJax ,LoJax,[12], PowerDuke ,PowerDuke,[13], POWERSOURCE ,POWERSOURCE,[14], Regin ,Regin,[15], Valak ,Valak,[16],[17],[18], Zeroaccess ,Zeroaccess,[19], Restrict File and Directory Permissions ,[20]","Forensic techniques exist to identify information stored in NTFS EA. , Monitor calls to the , and , Windows API functions as well as binaries used to interact with EA, , , and consider regularly scanning for the presence of modified information. ,There are many ways to create and interact with ADSs using Windows utilities. Monitor for operations (execution, copies, etc.) with file names that contain colons. This syntax (ex: ,) is commonly associated with ADSs. , , , For a more exhaustive list of utilities that can be used to execute and create ADSs, see https://gist.github.com/api0cradle/cdd2d0d0ec9abb686f0e89306e277b8f.,The Streams tool of Sysinternals can be used to uncover files with ADSs. The , command can also be used to display ADSs. , Many PowerShell commands (such as Get-Item, Set-Item, Remove-Item, and Get-ChildItem) can also accept a , parameter to interact with ADSs. , "," has used NTFS to hide files., used NTFS alternate data streams to hide their payloads., can be used to read and write alternate data streams., can be used to download or copy a file into an alternate data stream., stores configuration items in alternate data streams (ADSs) if the Registry is not accessible., has loaded an embedded NTFS DXE driver to be able to access and write to NTFS partitions., hides many of its backdoor payloads in an alternate data stream (ADS).,If the victim is using PowerShell 3.0 or later, , writes its decoded payload to an alternate data stream (ADS) named kernel32.dll that is saved in ,.,The , malware platform uses Extended Attributes to store encrypted executables., has the ability save and execute files as alternate data streams (ADS).,Some variants of the , Trojan have been known to store data in Extended Attributes.,Consider adjusting read and write permissions for NTFS EA, though this should be tested to ensure routine OS operations are not impeded. "," has used NTFS to hide files., used NTFS alternate data streams to hide their payloads., can be used to read and write alternate data streams., can be used to download or copy a file into an alternate data stream., stores configuration items in alternate data streams (ADSs) if the Registry is not accessible., has loaded an embedded NTFS DXE driver to be able to access and write to NTFS partitions., hides many of its backdoor payloads in an alternate data stream (ADS).,If the victim is using PowerShell 3.0 or later, , writes its decoded payload to an alternate data stream (ADS) named kernel32.dll that is saved in ,.,The , malware platform uses Extended Attributes to store encrypted executables., has the ability save and execute files as alternate data streams (ADS).,Some variants of the , Trojan have been known to store data in Extended Attributes.,Consider adjusting read and write permissions for NTFS EA, though this should be tested to ensure routine OS operations are not impeded. "
"
                            ,
                        Run Virtual Instance
                    ","Adversaries may carry out malicious operations using a virtual instance to avoid detection. A wide variety of virtualization technologies exist that allow for the emulation of a computer or computing environment. By running malicious code inside of a virtual instance, adversaries can hide artifacts associated with their behavior from security tools that are unable to monitor activity inside the virtual instance. Additionally, depending on the virtual networking implementation (ex: bridged adapter), network traffic generated by the virtual instance can be difficult to trace back to the compromised host as the IP address and hostname might not match known values.,Adversaries may utilize native support for virtualization (ex: Hyper-V) or drop the necessary files to run a virtual instance (ex: VirtualBox binaries). After running a virtual instance, adversaries may create a shared folder between the guest and host with permissions that enable the virtual instance to interact with the host file system."," LoudMiner ,LoudMiner,[3], Maze ,Maze,Maze,[4], Ragnar Locker ,Ragnar Locker,Ragnar Locker,[2], Disable or Remove Feature or Program , Execution Prevention ","Consider monitoring for files and processes associated with running a virtual instance, such as binary files associated with common virtualization technologies (ex: VirtualBox, VMware, QEMU, Hyper-V). Consider monitoring for process command-line arguments that may be atypical for benign use of virtualization software. Usage of virtualization binaries or command-line arguments associated with running a headless (in the background with no UI) virtual instance may be especially suspect. Network adapter information may also be helpful in detecting the use of virtual instances.,If virtualization software is installed by the adversary, the Registry may provide detection opportunities. Consider monitoring for ,, with respect to virtualization software. ,Benign usage of virtualization technology is common in enterprise environments, data and events should not be viewed in isolation, but as part of a chain of behavior."," has used QEMU and VirtualBox to run a Tiny Core Linux virtual machine, which runs XMRig and makes connections to the C2 server for updates., operators have used VirtualBox and a Windows 7 virtual machine to run the ransomware; the virtual machine's configuration file mapped the shared network drives of the target company, presumably so , can encrypt files on the shared drives as well as the local machine., , has used VirtualBox and a stripped Windows XP virtual machine to run itself. The use of a shared folder specified in the configuration enables , to encrypt files on the host operating system, including files on any mapped drives.,Disable Hyper-V if not necessary within a given environment.,Use application control to mitigate installation and use of unapproved virtualization software."," has used QEMU and VirtualBox to run a Tiny Core Linux virtual machine, which runs XMRig and makes connections to the C2 server for updates., operators have used VirtualBox and a Windows 7 virtual machine to run the ransomware; the virtual machine's configuration file mapped the shared network drives of the target company, presumably so , can encrypt files on the shared drives as well as the local machine., , has used VirtualBox and a stripped Windows XP virtual machine to run itself. The use of a shared folder specified in the configuration enables , to encrypt files on the host operating system, including files on any mapped drives.,Disable Hyper-V if not necessary within a given environment.,Use application control to mitigate installation and use of unapproved virtualization software."
"
                            ,
                        Hidden File System
                    ","Adversaries may use a hidden file system to conceal malicious activity from users and security tools. File systems provide a structure to store and access data from physical storage. Typically, a user engages with a file system through applications that allow them to access files and directories, which are an abstraction from their physical location (ex: disk sector). Standard file systems include FAT, NTFS, ext4, and APFS. File systems can also contain other structures, such as the Volume Boot Record (VBR) and Master File Table (MFT) in NTFS.,Adversaries may use their own abstracted file system, separate from the standard file system present on the infected system. In doing so, adversaries can hide the presence of malicious components and file input/output from security tools. Hidden file systems, sometimes referred to as virtual file systems, can be implemented in numerous ways. One implementation would be to store a file system in reserved disk space unused by disk structures or standard file system partitions., Another implementation could be for an adversary to drop their own portable partition image as a file on top of the standard file system., Adversaries may also fragment files across the existing file system structure in non-standard ways."," BOOTRASH ,BOOTRASH,[2], ComRAT ,ComRAT,[3], Equation ,Equation,[4], Regin ,Regin,[5], Strider ,Strider,[6]","Detecting the use of a hidden file system may be exceptionally difficult depending on the implementation. Emphasis may be placed on detecting related aspects of the adversary lifecycle, such as how malware interacts with the hidden file system or how a hidden file system is loaded. Consider looking for anomalous interactions with the Registry or with a particular file on disk. Likewise, if the hidden file system is loaded on boot from reserved disk space, consider shifting focus to detecting , activity."," has used unallocated disk space between partitions for a hidden file system that stores components of the Nemesis bootkit., has used a portable FAT16 partition image placed in %TEMP% as a hidden file system., has used an encrypted virtual file system stored in the Windows Registry., has used a hidden file system to store some of its components., has used a hidden file system that is stored as a file on disk."," has used unallocated disk space between partitions for a hidden file system that stores components of the Nemesis bootkit., has used a portable FAT16 partition image placed in %TEMP% as a hidden file system., has used an encrypted virtual file system stored in the Windows Registry., has used a hidden file system to store some of its components., has used a hidden file system that is stored as a file on disk."
"
                            ,
                        Hidden Window
                    ","Adversaries may use hidden windows to conceal malicious activity from the plain sight of users. In some cases, windows that would typically be displayed when an application carries out an operation can be hidden. This may be utilized by system administrators to avoid disrupting user work environments when carrying out administrative tasks. ,On Windows, there are a variety of features in scripting languages in Windows, such as ,, Jscript, and , to make windows hidden. One example of this is ,. ,Similarly, on macOS the configurations for how applications run are listed in property list (plist) files. One of the tags in these files can be ,, which allows for Java applications to prevent the application's icon from appearing in the Dock. A common use for this is when applications run in the system tray, but don't also want to show up in the Dock.,Adversaries may abuse these functionalities to hide otherwise visible windows from users so as not to alert the user to adversary activity on the system."," Agent Tesla ,Agent Tesla,[3], APT19 ,APT19,PowerShell,[4], APT28 ,APT28,PowerShell,[5],[6], APT3 ,APT3,PowerShell,[7], APT32 ,APT32,PowerShell,[8],[9], Astaroth ,Astaroth,[10], BONDUPDATER ,BONDUPDATER,PowerShell,[11], CopyKittens ,CopyKittens,PowerShell,[12], DarkHydrus ,DarkHydrus,PowerShell,[13], Deep Panda ,Deep Panda,PowerShell,[14], Gorgon Group ,Gorgon Group,PowerShell,[15], HAMMERTOSS ,HAMMERTOSS,PowerShell,[16], HotCroissant ,HotCroissant,[17], InvisiMole ,InvisiMole,[18], KeyBoy ,KeyBoy,PowerShell,[19], Kivars ,Kivars,[20], Magic Hound ,Magic Hound,[21], MCMD ,MCMD,[22], Metamorfo ,Metamorfo,[23], PowerShower ,PowerShower,[24], StrongPity ,StrongPity,[25], Ursnif ,Ursnif,[26], WindTail ,WindTail,[27], Execution Prevention ","Monitor processes and command-line arguments for actions indicative of hidden windows. In Windows, enable and configure event logging and PowerShell logging to check for the hidden window style. In MacOS, plist files are ASCII text files with a specific format, so they're relatively easy to parse. File monitoring can check for the , or any other suspicious plist tag in plist files and flag them."," has used , to hide windows., used , to conceal , windows by setting the WindowStyle parameter to hidden. , has used the WindowStyle parameter to conceal , windows., , has been known to use , to conceal , windows., has used the WindowStyle parameter to conceal , windows. , , loads its module with the XSL script parameter , set to zero, which opens the application with a hidden window. , uses , to conceal a , window that downloads a payload., has used , and , to conceal , windows. , has used , to conceal , windows. , has used , to conceal , windows by setting the WindowStyle parameter to hidden. , has used , to conceal , windows by setting the WindowStyle parameter to hidden. , has used , to conceal , windows., has the ability to hide the window for operations performed on a given file., has executed legitimate tools in hidden windows., uses , to conceal a , window that downloads a payload. , has the ability to conceal its activity through hiding active windows., malware has a function to determine whether the C2 server wishes to execute the newly dropped file in a hidden window., can modify processes to prevent them from being visible on the desktop., has hidden its GUI using the ShowWindow() WINAPI call., , has added a registry key so future powershell.exe instances are spawned with coordinates for a window position off-screen by default., has the ability to hide the console window for its document search module from the user., droppers have used COM properties to execute malware in hidden windows., can instruct the OS to execute an application without a dock icon or menu.,Limit or restrict program execution using anti-virus software. On MacOS, allowlist programs that are allowed to have the plist tag. All other programs should be considered suspicious."," has used , to hide windows., used , to conceal , windows by setting the WindowStyle parameter to hidden. , has used the WindowStyle parameter to conceal , windows., , has been known to use , to conceal , windows., has used the WindowStyle parameter to conceal , windows. , , loads its module with the XSL script parameter , set to zero, which opens the application with a hidden window. , uses , to conceal a , window that downloads a payload., has used , and , to conceal , windows. , has used , to conceal , windows. , has used , to conceal , windows by setting the WindowStyle parameter to hidden. , has used , to conceal , windows by setting the WindowStyle parameter to hidden. , has used , to conceal , windows., has the ability to hide the window for operations performed on a given file., has executed legitimate tools in hidden windows., uses , to conceal a , window that downloads a payload. , has the ability to conceal its activity through hiding active windows., malware has a function to determine whether the C2 server wishes to execute the newly dropped file in a hidden window., can modify processes to prevent them from being visible on the desktop., has hidden its GUI using the ShowWindow() WINAPI call., , has added a registry key so future powershell.exe instances are spawned with coordinates for a window position off-screen by default., has the ability to hide the console window for its document search module from the user., droppers have used COM properties to execute malware in hidden windows., can instruct the OS to execute an application without a dock icon or menu.,Limit or restrict program execution using anti-virus software. On MacOS, allowlist programs that are allowed to have the plist tag. All other programs should be considered suspicious."
"
                        Hide Artifacts
                    ","Adversaries may attempt to hide artifacts associated with their behaviors to evade detection. Operating systems may have features to hide various artifacts, such as important system files and administrative task execution, to avoid disrupting user work environments and prevent users from changing files or features on the system. Adversaries may abuse these features to hide artifacts such as files, directories, user accounts, or other system activity to evade detection.,Adversaries may also attempt to hide artifacts associated with malicious behavior by creating computing regions that are isolated from common security instrumentation, such as through the use of virtualization technology.",,"Monitor files, processes, and command-line arguments for actions indicative of hidden artifacts. Monitor event and authentication logs for records of hidden artifacts being used. Monitor the file system and shell commands for hidden attribute usage.",,
"
                            ,
                        Hidden Users
                    ","Adversaries may use hidden users to mask the presence of user accounts they create. Every user account in macOS has a userID associated with it. When creating a user, you can specify the userID for that account.,There is a property value in , called , that prevents users with userIDs 500 and lower from appearing at the login screen. When using the , technique with a userID under 500 (ex: ,) and enabling this property (setting it to Yes), an adversary can conceal user accounts. ,.", Operating System Configuration ,"This technique prevents the new user from showing up at the log in screen, but all of the other signs of a new user still exist. The user still gets a home directory and will appear in the authentication logs.","If the computer is domain joined, then group policy can help restrict the ability to create or hide users. Similarly, preventing the modification of the , , value will force all users to be visible.","If the computer is domain joined, then group policy can help restrict the ability to create or hide users. Similarly, preventing the modification of the , , value will force all users to be visible."
"
                            ,
                        Hidden Files and Directories
                    ","Adversaries may set files and directories to be hidden to evade detection mechanisms. To prevent normal users from accidentally changing special files on a system, most operating systems have the concept of a ‘hidden’ file. These files don’t show up when a user browses the file system with a GUI or when using normal commands on the command line. Users must explicitly ask to show the hidden files either via a series of Graphical User Interface (GUI) prompts or with command line switches (, for Windows and , for Linux and macOS).,On Linux and Mac, users can mark specific files as hidden simply by putting a ""."" as the first character in the file or folder name  , ,. Files and folders that start with a period, ‘.’, are by default hidden from being viewed in the Finder application and standard command-line utilities like ""ls"". Users must specifically change settings to have these files viewable.,Files on macOS can also be marked with the UF_HIDDEN flag which prevents them from being seen in Finder.app, but still allows them to be seen in Terminal.app ,. On Windows, users can mark specific files as hidden by using the attrib.exe binary. Many applications create these hidden files and folders to store information so that it doesn’t clutter up the user’s workspace. For example, SSH utilities create a .ssh folder that’s hidden and contains the user’s known hosts and keys.,Adversaries can use this to their advantage to hide files and folders anywhere on the system and evading a typical user or system analysis that does not incorporate investigation of hidden files."," APT28 ,APT28,[4],[4], APT32 ,APT32,[5], Attor ,Attor,[6], BackConfig ,BackConfig,[7], Calisto ,Calisto,[8],[9], Carberp ,Carberp,[10], CoinTicker ,CoinTicker,[11], Dacls ,Dacls,[12],[13], FruitFly ,FruitFly,[14], iKitten ,iKitten,[14], Imminent Monitor ,Imminent Monitor,[15], InvisiMole ,InvisiMole,[16], Ixeshe ,Ixeshe,[17], Komplex ,Komplex,[1], Lazarus Group ,Lazarus Group,[18],[12],[13], Lokibot ,Lokibot,[19], LoudMiner ,LoudMiner,[20], Machete ,Machete,[21], MacSpy ,MacSpy,[22], Micropsia ,Micropsia,[23], Okrum ,Okrum,[24], OSX/Shlayer ,OSX/Shlayer,[25], OSX_OCEANLOTUS.D ,OSX_OCEANLOTUS.D,[26], PoetRAT ,PoetRAT,[27], Rising Sun ,Rising Sun,[28], Rocke ,Rocke,[29],[30], Tropic Trooper ,Tropic Trooper,[31],[32], WannaCry ,WannaCry,[33]","Monitor the file system and shell commands for files being created with a leading ""."" and the Windows command-line use of attrib.exe to add the hidden attribute."," has saved files with hidden file attributes.,'s macOS backdoor hides the clientID file via a chflags function., can set attributes of log files and directories to HIDDEN, SYSTEM, ARCHIVE, or a combination of those., has the ability to set folders or files to be hidden from the Windows Explorer default view., uses a hidden directory named .calisto to store data from the victim’s machine before exfiltration., has created a hidden file in the Startup folder of the current user., downloads the following hidden files to evade detection and maintain persistence: /private/tmp/.info.enc, /private/tmp/.info.py, /private/tmp/.server.sh, ~/Library/LaunchAgents/.espl.plist, ~/Library/Containers/.[random string]/[random string]., has had its payload named with a dot prefix to make it hidden from view in the Finder application., saves itself with a leading ""."" to make it a hidden file., saves itself with a leading ""."" so that it's hidden from users by default., has a dynamic debugging feature to set the file attribute to hidden., can create hidden system directories., sets its own executable file's attributes to hidden.,The , payload is stored in a hidden directory at ,., has used a VBA Macro to set its file attributes to System and Hidden and has named files with a dot prefix to hide them from the Finder application., has the ability to copy itself to a hidden file and directory., has set the attributes of the VirtualBox directory and VBoxVmService parent directory to ""hidden""., has the capability to exfiltrate stolen data to a hidden folder on a removable drive., stores itself in , , creates a new hidden directory to store all components' outputs in a dedicated sub-folder for each.,Before exfiltration, ,'s backdoor has used hidden files to store logs and outputs from backdoor commands., executes a .command script from a hidden directory in a mounted DMG., sets the main loader file’s attributes to hidden., has the ability to hide and unhide files., can modify file attributes to hide files., downloaded a file ""libprocesshider"", which could hide files on the target system., has created a hidden directory under , and ,., uses , to make some of its files hidden."," has saved files with hidden file attributes.,'s macOS backdoor hides the clientID file via a chflags function., can set attributes of log files and directories to HIDDEN, SYSTEM, ARCHIVE, or a combination of those., has the ability to set folders or files to be hidden from the Windows Explorer default view., uses a hidden directory named .calisto to store data from the victim’s machine before exfiltration., has created a hidden file in the Startup folder of the current user., downloads the following hidden files to evade detection and maintain persistence: /private/tmp/.info.enc, /private/tmp/.info.py, /private/tmp/.server.sh, ~/Library/LaunchAgents/.espl.plist, ~/Library/Containers/.[random string]/[random string]., has had its payload named with a dot prefix to make it hidden from view in the Finder application., saves itself with a leading ""."" to make it a hidden file., saves itself with a leading ""."" so that it's hidden from users by default., has a dynamic debugging feature to set the file attribute to hidden., can create hidden system directories., sets its own executable file's attributes to hidden.,The , payload is stored in a hidden directory at ,., has used a VBA Macro to set its file attributes to System and Hidden and has named files with a dot prefix to hide them from the Finder application., has the ability to copy itself to a hidden file and directory., has set the attributes of the VirtualBox directory and VBoxVmService parent directory to ""hidden""., has the capability to exfiltrate stolen data to a hidden folder on a removable drive., stores itself in , , creates a new hidden directory to store all components' outputs in a dedicated sub-folder for each.,Before exfiltration, ,'s backdoor has used hidden files to store logs and outputs from backdoor commands., executes a .command script from a hidden directory in a mounted DMG., sets the main loader file’s attributes to hidden., has the ability to hide and unhide files., can modify file attributes to hide files., downloaded a file ""libprocesshider"", which could hide files on the target system., has created a hidden directory under , and ,., uses , to make some of its files hidden."
"
                            ,
                        Linux and Mac File and Directory Permissions Modification
                    ","Adversaries may modify file or directory permissions/attributes to evade access control lists (ACLs) and access protected files., File and directory permissions are commonly managed by ACLs configured by the file or directory owner, or users with the appropriate permissions. File and directory ACL implementations vary by platform, but generally explicitly designate which users or groups can perform which actions (read, write, execute, etc.).,Most Linux and Linux-based platforms provide a standard set of permission groups (user, group, and other) and a standard set of permissions (read, write, and execute) that are applied to each group. While nuances of each platform’s permissions implementation may vary, most of the platforms provide two primary commands used to manipulate file and directory ACLs: , (short for change owner), and , (short for change mode).,Adversarial may use these commands to make themselves the owner of files and directories or change the mode if current permissions allow it. They could subsequently lock others out of the file. Specific file and directory modifications may be a required step for many techniques, such as establishing Persistence via , or tainting/hijacking other instrumental binary/configuration files via ,."," APT32 ,APT32,[3], OSX/Shlayer ,OSX/Shlayer,[4],[4], Rocke ,Rocke,[5], Privileged Account Management , Restrict File and Directory Permissions ","Monitor and investigate attempts to modify ACLs and file/directory ownership. Many of the commands used to modify ACLs and file/directory ownership are built-in system utilities and may generate a high false positive alert rate, so compare against baseline knowledge for how systems are typically used and correlate modification events with other indications of malicious activity where possible.,Consider enabling file/directory permission change auditing on folders containing key binary/configuration files.","'s macOS backdoor changes the permission of the file it wants to execute to 755., can use the , utility to set a .app file as executable, and the , application to disable Gatekeeper protection for a downloaded file.,., has changed file permissions of files so they could not be modified., ,Ensure critical system files as well as those known to be abused by adversaries have restrictive permissions and are owned by an appropriately privileged account, especially if access is not required by users nor will inhibit system functionality.,Applying more restrictive permissions to files and directories could prevent adversaries from modifying the access control lists.","'s macOS backdoor changes the permission of the file it wants to execute to 755., can use the , utility to set a .app file as executable, and the , application to disable Gatekeeper protection for a downloaded file.,., has changed file permissions of files so they could not be modified., ,Ensure critical system files as well as those known to be abused by adversaries have restrictive permissions and are owned by an appropriately privileged account, especially if access is not required by users nor will inhibit system functionality.,Applying more restrictive permissions to files and directories could prevent adversaries from modifying the access control lists."
